0,1,2
0.0,0.0,100.0
0.0,1.0,100.0
0.0,2.0,100.0
0.0,3.0,100.0
0.0,4.0,100.0
0.0,5.0,100.0
0.0,6.0,100.0
0.0,7.0,100.0
0.0,8.0,100.0
0.0,9.0,100.0
0.0,10.0,100.0
0.0,11.0,100.0
0.0,12.0,100.0
0.0,13.0,100.0
0.0,14.0,100.0
0.0,15.0,100.0
0.0,16.0,100.0
0.0,17.0,100.0
0.0,18.0,100.0
0.0,19.0,100.0
1.0,0.0,100.0
1.0,1.0,63.24219729654788
1.0,2.0,49.39569238376453
1.0,3.0,43.42038263552636
1.0,4.0,40.54865674767447
1.0,5.0,39.06332101421796
1.0,6.0,38.2601925049301
1.0,7.0,37.81595664112842
1.0,8.0,37.57062375294006
1.0,9.0,37.44490051845681
1.0,10.0,37.40679561816436
1.0,11.0,37.459297583537975
1.0,12.0,37.640270684029346
1.0,13.0,38.03456979888344
1.0,14.0,38.807230489348015
1.0,15.0,40.28589884999745
1.0,16.0,43.17818517895083
1.0,17.0,49.2036300373696
1.0,18.0,63.13095389116516
1.0,19.0,100.0
2.0,0.0,92.0
2.0,1.0,71.51166749030561
2.0,2.0,58.81567335374805
2.0,3.0,51.593218587178306
2.0,4.0,47.53209501519541
2.0,5.0,45.23615147364282
2.0,6.0,43.92986020356844
2.0,7.0,43.184675659521055
2.0,8.0,42.76361226483722
2.0,9.0,42.54165244845511
2.0,10.0,42.46710992291716
2.0,11.0,42.5458361394046
2.0,12.0,42.841015145083254
2.0,13.0,43.48854885284615
2.0,14.0,44.73529183867203
2.0,15.0,47.01825302451378
2.0,16.0,51.11964613580683
2.0,17.0,58.44018652817161
2.0,18.0,71.2942192353182
2.0,19.0,92.0
3.0,0.0,84.0
3.0,1.0,71.88420203653966
3.0,2.0,62.588015572969525
3.0,3.0,56.3671535138338
3.0,4.0,52.45685729600619
3.0,5.0,50.078779868370546
3.0,6.0,48.66079698864277
3.0,7.0,47.82540606940646
3.0,8.0,47.33878312387457
3.0,9.0,47.06907836290496
3.0,10.0,46.96063403977483
3.0,11.0,47.021969983527924
3.0,12.0,47.32548311025153
3.0,13.0,48.01886405925268
3.0,14.0,49.350291415880115
3.0,15.0,51.70956618865445
3.0,16.0,55.67851325726568
3.0,17.0,62.04208248434418
3.0,18.0,71.56809561777705
3.0,19.0,84.0
4.0,0.0,77.0
4.0,1.0,69.29287910064411
4.0,2.0,63.04717967228329
4.0,3.0,58.507299627433625
